City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jelenia Gora,PL,2022-09-22 17:00:15,50.8997,15.729,52.54,72,86,0.81
1,Carnarvon,AU,2022-09-22 17:00:48,-24.8667,113.6333,65.39,76,0,17.85
2,Coahuayana,MX,2022-09-22 17:00:49,18.7333,-103.6833,85.91,68,40,3.15
3,Djibo,BF,2022-09-22 17:00:49,14.1022,-1.6306,95.67,34,53,1.52
4,Ortigueira,BR,2022-09-22 17:00:49,-24.2083,-50.9494,61.36,92,100,5.03
5,Faanui,PF,2022-09-22 17:00:50,-16.4833,-151.75,78.1,76,5,20.0
6,Staunton,US,2022-09-22 17:00:50,38.1496,-79.0717,78.96,72,100,6.91
7,Puerto Ayora,EC,2022-09-22 17:00:50,-0.7393,-90.3518,68.56,92,89,5.99
8,Camacha,PT,2022-09-22 17:00:51,33.0833,-16.3333,74.62,65,40,11.5
9,Barrow,US,2022-09-22 17:00:51,71.2906,-156.7887,32.02,93,100,10.36
10,Castro,BR,2022-09-22 17:00:19,-24.7911,-50.0119,58.89,89,100,6.51
11,Punta Arenas,CL,2022-09-22 16:59:54,-53.15,-70.9167,44.71,65,0,6.91
12,Sioux City,US,2022-09-22 16:56:48,42.5,-96.4003,61.45,49,100,5.01
13,Ahtopol,BG,2022-09-22 17:00:52,42.1,27.95,60.39,54,70,6.51
14,Iqaluit,CA,2022-09-22 17:00:14,63.7506,-68.5145,34.7,43,86,11.99
15,Vaini,TO,2022-09-22 17:00:52,-21.2,-175.2,75.54,87,99,16.91
16,Mombetsu,JP,2022-09-22 17:00:53,44.3525,143.3525,54.16,81,100,6.73
17,Busselton,AU,2022-09-22 17:00:54,-33.65,115.3333,47.25,80,0,6.69
18,Cape Town,ZA,2022-09-22 16:59:48,-33.9258,18.4232,57.09,85,75,10.36
19,Conde,BR,2022-09-22 17:00:54,-7.2597,-34.9075,80.89,64,64,12.53
20,Najran,SA,2022-09-22 17:00:54,17.4924,44.1277,85.21,14,99,7.74
21,Methven,NZ,2022-09-22 17:00:55,-43.6333,171.65,35.91,99,0,3.69
22,Guerrero Negro,MX,2022-09-22 17:00:55,27.9769,-114.0611,77.83,61,46,5.3
23,Kargat,RU,2022-09-22 17:00:55,55.1956,80.2811,58.6,56,75,12.41
24,Pangnirtung,CA,2022-09-22 17:00:56,66.1451,-65.7125,33.8,55,75,4.61
25,Clyde River,CA,2022-09-22 17:00:56,70.4692,-68.5914,25.72,76,25,3.13
26,Erzin,TR,2022-09-22 17:00:57,36.9559,36.2,70.57,77,82,6.24
27,Avarua,CK,2022-09-22 17:00:57,-21.2078,-159.775,73.45,73,75,12.66
28,Agadez,NE,2022-09-22 17:00:57,19.75,10.25,98.92,11,2,7.34
29,Bandarbeyla,SO,2022-09-22 17:00:58,9.4942,50.8122,78.78,81,20,27.11
30,Bredasdorp,ZA,2022-09-22 17:00:58,-34.5322,20.0403,55.47,70,93,18.63
31,Husavik,IS,2022-09-22 17:00:59,66.0449,-17.3389,40.46,86,100,2.33
32,Bluff,NZ,2022-09-22 17:00:59,-46.6,168.3333,39.79,80,89,5.44
